card_id,implementation,hooks,source_kind,upstream_repositories,upstream_match_count,verification_status
JAIL_421,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_435,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_442,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_452,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_455,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_456,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_457,declarative,battlecry,local_spec,,0,focused_test_and_regression
JAIL_459,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_501,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_502,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_703,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_732,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_850,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_852,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_880,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_882,declarative,deathrattle,local_spec,,0,focused_test_and_regression
JAIL_890,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_906,legacy_compatibility,,local_legacy,,0,regression_suite_only
JAIL_942,legacy_compatibility,,local_legacy,,0,regression_suite_only
MEND_040,legacy_compatibility,,local_legacy,,0,regression_suite_only
RLK_503,legacy_compatibility,,local_legacy,,0,regression_suite_only
RLK_708,declarative,"battlecry,deathrattle",local_spec,,0,focused_test_and_regression
RLK_958,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_001,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_003,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_004,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_008,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_015,declarative,battlecry,local_spec,,0,focused_test_and_regression
TIME_017,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_024,declarative,battlecry,local_spec,,0,focused_test_and_regression
TIME_034,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_043,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_045,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_046,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_048,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_051,declarative,battlecry,local_spec,,0,focused_test_and_regression
TIME_053,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_054,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_056,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_060,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_063,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_433,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_441,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_603,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_606,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_610,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_713,declarative,battlecry,local_spec,,0,focused_test_and_regression
TIME_713t,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_714,legacy_compatibility,,local_legacy,,0,regression_suite_only
TIME_720,declarative,battlecry,local_spec,,0,focused_test_and_regression
